# Used for: the PDF-aligned documentary narration source for `build_pdf_documentary.py`.
# Format: segment_key|voiceover text

intro_ocean|In the first millennium before Christ, Phoenician sailors turned the Mediterranean into a connected world.
shot01_trade_network_fleet|From the Levant, their fleets carried stone, pottery, timber, and ideas across open water.
shot02_hero_gaulos_ship|The gaulos merchant ship used a deep, rounded hull built for cargo, balance, and distance.
shot03_harbor_approach|Malta stood at the center of those routes, and Bormla offered a rare natural harbor.
shot04_quay_loading|Here, amphorae and millstones were loaded quickly as crews prepared the next leg of the voyage.
shot05_marketplace_exchange|Trade also meant contact, as Phoenicians and local Maltese communities exchanged goods, skills, and language.
shot06_ship_construction|These ships relied on cedar planking, mortise-and-tenon joints, and protective resins to survive the sea.
shot07_trade_route_map|Square sails drove them onward, while Malta linked the Levant, North Africa, and southern Europe.
shot08_bormla_repair|Bormla's limestone inlets gave shelter, repair space, fresh supplies, and direct access to deep water.
shot09_night_navigation|At night, navigators held their course by the North Star and familiar constellations.
shot10_underwater_shipwreck|Shipwrecks near Malta still preserve amphorae, anchors, and cargo that prove this maritime system.
shot11_modern_conservation|Today, conservation and digital recording protect that evidence and keep Bormla's maritime memory alive.
end_legacy|Its legacy still shapes the Three Cities and Malta's story at sea.
